,navn,addresse,Org_nr,Sektor,godkjenning
1684,Life Akersgata,"Akersgata 32 , 0180 OSLO",Org. nr. 981 457 072,"Foredling, import og omsetning",Gyldig fra 09.12.2020 til 30.12.2021
1685,Life AS,"Øvre Slottsgt. 4 , 0157 OSLO",Org. nr. 981 457 072,"Foredling, import og omsetning",Gyldig fra 28.09.2020 til 30.12.2021
1686,Life Foodstore Colosseum,"Middelthunsgate 23 , 0368 OSLO",Org. nr. 974 403 943,"Foredling, import og omsetning",Gyldig fra 28.06.2020 til 30.12.2021
1687,Life Foodstore Grünerløkka AS,"Hausmannsgt. 8L , 0182 OSLO",Org. nr. 981 457 072,"Foredling, import og omsetning",Gyldig fra 11.10.2020 til 30.12.2021
1688,Life Foodstore Tønsberg,"Storgaten 23 , 3126 TØNSBERG",Org. nr. 974 403 943,"Foredling, import og omsetning",Gyldig fra 28.09.2020 til 30.12.2021
1689,Ligaarden Lars,"Øverrovegen 575 , 2838 SNERTINGDAL",Org. nr. 969 545 357,Økologisk landbruksproduksjon,Gyldig fra 07.09.2020 til 30.12.2021
1690,Lille Langøya fiskerbonde ANS,"Langøya , 8408 SANDSET",Org. nr. 981 724 720,"Foredling, import og omsetning",Gyldig fra 30.09.2020 til 30.12.2021
1691,Lillehaug Trond Erik,"Mosvinga 210 , 2870 DOKKA",Org. nr. 979 556 845,Økologisk landbruksproduksjon,Gyldig fra 26.11.2020 til 30.12.2021
1692,Linbakst AS,"Grostadveien 185 , 7316 LENSVIK",Org. nr. 922 750 068,"Foredling, import og omsetning",Gyldig fra 28.05.2020 til 30.12.2021
1693,Lind Øyvind,"Thorsøvn. 1, Holm gård , 1634 GAMLE FREDRIKSTAD",Org. nr. 970 927 271,Økologisk landbruksproduksjon,Gyldig fra 23.11.2020 til 30.12.2021
1694,Lindgaard Randi,"Valvikveien 430 , 6919 TANSØY",Org. nr. 979 684 290,Økologisk landbruksproduksjon,Gyldig fra 15.03.2020 til 30.12.2021
1695,Lindseth Jon Ivar,"Kvaløyseterveien 16 , 7770 FLATANGER",Org. nr. 970 527 133,Økologisk landbruksproduksjon,Gyldig fra 02.11.2020 til 30.12.2021
1697,Line Gunnar,"Dottetorpvn. 32, Berger , 1892 DEGERNES",Org. nr. 985 506 833,Økologisk landbruksproduksjon,Gyldig fra 08.09.2020 til 30.12.2021
1698,Linge Elida Brenna,"Linge 75 , 6210 VALLDAL",Org. nr. 992 581 778,Økologisk landbruksproduksjon,Gyldig fra 08.09.2020 til 30.12.2021
1699,Linge-Valdal Steinar,"Linge 25 , 6210 VALLDAL",Org. nr. 992 124 776,Økologisk landbruksproduksjon,Gyldig fra 30.08.2020 til 30.12.2021
1700,Lippe AS,"PB 57, Holmlia , 1201 OSLO",Org. nr. 890 013 082,"Foredling, import og omsetning",Gyldig fra 19.08.2020 til 30.12.2021
1701,Liquid Gold AS,"Bølerlia 6 , 0691 OSLO",Org. nr. 819 200 572,Økologisk kosmetikk,Gyldig fra 28.02.2020 til 30.12.2021
1702,Liutkus Kornelijus,"Sørburøyvn. 40 , 7286 SØRBURØY",Org. nr. 996 181 847,Økologisk landbruksproduksjon,Gyldig fra 27.07.2020 til 30.12.2021
1703,"LivLaga SA, Bente Michelsen","Mobakken 9 , 9040 NORDKJOSBOTN",Org. nr. 994 002 562,Økologisk landbruksproduksjon,Gyldig fra 19.08.2020 til 30.12.2021
1704,Ljøkjel Gård Kari Ljøkjel,"Orkdalsveien 1399 , 7320 FANNREM",Org. nr. 990 702 616,Økologisk landbruksproduksjon,Gyldig fra 25.11.2020 til 30.12.2021
1705,Ljøkjell Sele Ingrid,"Kjelvikveien 78 , 7670 INDERØY",Org. nr. 911 779 803,Økologisk landbruksproduksjon,Gyldig fra 31.08.2020 til 30.12.2021
1706,LK Gårdsdrift DA,"Kjørstadveien 1 , 3618 SKOLLENBORG",Org. nr. 924 016 825,Økologisk landbruksproduksjon,Gyldig fra 03.02.2020 til 30.12.2021
1707,Lockertsen Roger,"Ullstindvegen 1246 , 9023 KROKELVDALEN",Org. nr. 977 068 169,Økologisk landbruksproduksjon,Gyldig fra 15.11.2020 til 30.12.2021
1708,Lode Steinar,"Holtjordet 24 , 2208 KONGSVINGER",Org. nr. 969 167 638,Økologisk landbruksproduksjon,Gyldig fra 11.11.2020 til 30.12.2021
1709,Lofoten Blue Harvest,"Torget 21 , 8300 SVOLVÆR",Org. nr. 915 478 948,Økologisk akvakultur,Gyldig fra 01.11.2020 til 30.12.2021
1710,Lofoten folkehøgskole,"Finnesvn. 24 , 8310 KABELVÅG",Org. nr. 938 610 371,Servering av økologisk mat og drikke,Gyldig fra 02.12.2020 til 30.12.2021
1711,Lofoten Gårdysteri v/ Saupstad Gård Mariëlle de Roos og Hugo Vink,"Saupstadveien 235 , 8360 BØSTAD",Org. nr. 982 961 947,"Foredling, import og omsetning",Gyldig fra 07.10.2020 til 30.12.2021
1713,Lofoten Seaweed Company,"Flakstadveien 73 , 8382 NAPP",Org. nr. 917 344 132,Økologisk akvakultur,Gyldig fra 25.10.2020 til 30.12.2021
1714,Løfsnæs Ove,"Rebuodden 45, Lauvsnes , 7770 FLATANGER",Org. nr. 975 433 463,Økologisk landbruksproduksjon,Gyldig fra 25.10.2020 til 30.12.2021
1715,LOG AS,"Nedre Kalbakkvei 88 , 1081 OSLO",Org. nr. 983 473 997,"Foredling, import og omsetning",Gyldig fra 25.03.2020 til 30.12.2021
1716,Løiten AS,"Kjeppestadveien 40 , 1400 SKI",Org. nr. 967 336 181,"Foredling, import og omsetning",Gyldig fra 04.11.2020 til 30.12.2021
1717,Løken Hilde,"Vardebergvegen 657 , 2337 TANGEN",Org. nr. 914 525 497,Økologisk landbruksproduksjon,Gyldig fra 16.11.2020 til 30.12.2021
1718,Løkkene Urtegård,"Åsa, Løkkeneveien 5 , 3512 HØNEFOSS",Org. nr. 980 529 614,Økologisk landbruksproduksjon,Gyldig fra 12.08.2020 til 30.12.2021
1719,Løland Atle,"Austerheimsv. 286 , 4200 SAUDA",Org. nr. 969 085 585,Økologisk landbruksproduksjon,Gyldig fra 29.11.2020 til 30.12.2021
1720,Løland Øko v/Colin Tattersall,"Lølandsvegen 96 , 6953 LEIRVIK I SOGN",Org. nr. 915 816 010,Økologisk landbruksproduksjon,Gyldig fra 21.04.2020 til 30.12.2021
1721,Lome Kåre,"Handevegen 74 , 2960 RØN",Org. nr. 955 597 036,Økologisk landbruksproduksjon,Gyldig fra 05.10.2020 til 30.12.2021
1722,Lone hest og Smådyr,"Gjerstadv 166 , 5282 LONEVÅG",Org. nr. 969 917 904,Økologisk landbruksproduksjon,Gyldig fra 14.09.2020 til 30.12.2021
1723,Losna Villsaulag ANS Carl-Erik Arnesen,"Ole Irgensvei 65 C , 5019 BERGEN",Org. nr. 885 806 082,Økologisk landbruksproduksjon,Gyldig fra 14.04.2020 til 30.12.2021
1724,Lothe Håvard,"Bjoaveien 1787 , 5584 BJOA",Org. nr. 985 035 385,Økologisk landbruksproduksjon,Gyldig fra 21.10.2020 til 30.12.2021
1725,Løvaas Gard - Linda Vørøs Bjørvik,"Langedalen 522 , 5268 HAUKELAND",Org. nr. 921 066 880,Økologisk landbruksproduksjon,Gyldig fra 14.10.2020 til 30.12.2021
1726,Løverød Anders,"Åsveien 69 , 3175 RAMNES",Org. nr. 995 459 396,Økologisk landbruksproduksjon,Gyldig fra 14.07.2020 til 30.12.2021
1727,Lund Frode,"Gamle Kongeveg Nord 277 , 7609 LEVANGER",Org. nr. 969 466 511,Økologisk landbruksproduksjon,Gyldig fra 11.05.2020 til 30.12.2021
1729,Lund Hege,"Romsveien 250 , 3179 ÅSGÅRDSTRAND",Org. nr. 985 907 633,Økologisk landbruksproduksjon,Gyldig fra 19.04.2020 til 30.12.2021
1730,Lund Karianne Aas,"Skalleåsveien 297 , 1892 DEGERNES",Org. nr. 985 072 221,"Foredling, import og omsetning",Gyldig fra 19.04.2020 til 30.12.2021
1731,Lund Lars Petter,"Knestanggt. 38 , 3514 HØNEFOSS",Org. nr. 890 293 042,Økologisk landbruksproduksjon,Gyldig fra 07.12.2020 til 30.12.2021
1732,Lund Marte Sandø,"Vollvn. 40 , 3370 VIKERSUND",Org. nr. 999 506 755,Økologisk landbruksproduksjon,Gyldig fra 16.11.2020 til 30.12.2021
1733,Lundby Erland,"Gjødingvegen 91 , 2090 HURDAL",Org. nr. 987 322 071,Økologisk landbruksproduksjon,Gyldig fra 17.01.2021 til 30.12.2021
1734,Lundby Marit,"Brånåsveien 15 , 2019 SKEDSMOKORSET",Org. nr. 915 214 606,Økologisk landbruksproduksjon,Gyldig fra 29.09.2020 til 30.12.2021
1735,Lunde Bergljot Hedda,"Etnedalsvegen 656 , 2890 ETNEDAL",Org. nr. 986 546 340,Økologisk landbruksproduksjon,Gyldig fra 07.07.2020 til 30.12.2021
1736,Lunde Gård Engros AS,"Porsveien 50-52 , 4994 AKLAND",Org. nr. 992 938 706,"Foredling, import og omsetning",Gyldig fra 23.11.2020 til 30.12.2021
1737,Lunde gård Randi og Bob van Dam,"Lundavegen 197 , 2690 SKJÅK",Org. nr. 981 937 252,Økologisk landbruksproduksjon,Gyldig fra 04.11.2020 til 30.12.2021
1738,Lunde Ole Øivind,"Åsgårdveien 455 , 1850 MYSEN",Org. nr. 970 200 142,Økologisk landbruksproduksjon,Gyldig fra 30.11.2020 til 30.12.2021
1739,Lunde Thorbjørn,"Narudvegen 240 , 2386 BRUMUNDDAL",Org. nr. 969 930 269,Økologisk landbruksproduksjon,Gyldig fra 11.02.2020 til 30.12.2021
1740,Lundevold Benedicte,"Bårsundvn. 89 , 5685 UGGDAL",Org. nr. 998 680 093,Økologisk landbruksproduksjon,Gyldig fra 17.03.2020 til 30.12.2021
1741,Lundgren Kathrine,"Smålandsvegen 127, Dillmoen gård , 7660 VUKU",Org. nr. 894 595 302,"Foredling, import og omsetning",Gyldig fra 19.11.2020 til 30.12.2021
1742,Lundstad Grønt AS,"Kolbulinna 965 , 2847 KOLBU",Org. nr. 992 600 713,"Foredling, import og omsetning",Gyldig fra 16.06.2020 til 30.12.2021
1743,Lünser Ralf,"Trælvikodden 13, Syltern , 8908 BRØNNØYSUND",Org. nr. 993 053 686,Økologisk landbruksproduksjon,Gyldig fra 30.09.2020 til 30.12.2021
1745,Lybeck Ivar Ole,"Thomlesvevegen 211 , 2870 DOKKA",Org. nr. 988 870 897,Økologisk landbruksproduksjon,Gyldig fra 14.05.2020 til 30.12.2021
1746,Lyche Arnar,"Osmarkavegen 1247 , 6638 OSMARKA",Org. nr. 993 947 512,Økologisk landbruksproduksjon,Gyldig fra 14.05.2020 til 30.12.2021
1747,Lyche Lars Tveit,"Osmarkavegen 1276 , 6638 OSMARKA",Org. nr. 919 725 750,Økologisk landbruksproduksjon,Gyldig fra 10.12.2020 til 30.12.2021
1748,Lygra Villsaulag AS,"Lurevegen 1535 , 5912 SEIM",Org. nr. 921 966 369,Økologisk landbruksproduksjon,Gyldig fra 10.12.2020 til 30.12.2021
1749,Lygre Dag Kyrre og Veronica,"Lygresvn 399 , 5646 NORDTVEITGREND",Org. nr. 989 569 767,"Foredling, import og omsetning",Gyldig fra 16.06.2020 til 30.12.2021
1750,Lygren Ole Mathias,"Lureveien 1571 , 5912 SEIM",Org. nr. 988 549 894,Økologisk landbruksproduksjon,Gyldig fra 30.11.2020 til 30.12.2021
1751,Lykkemat AS,"Selbuvegen 639 , 7584 SELBUSTRAND",Org. nr. 816 506 182,"Foredling, import og omsetning",Gyldig fra 28.04.2020 til 30.12.2021
1752,Lyng Jo Morten,"Utøyvegen 780 A , 7670 INDERØY",Org. nr. 981 423 127,Økologisk landbruksproduksjon,Gyldig fra 28.06.2020 til 30.12.2021
1753,Lyng Odd Arne,"Slottelidvegen 47 , 7656 VERDAL",Org. nr. 970 580 654,Økologisk landbruksproduksjon,Gyldig fra 07.10.2020 til 30.12.2021
1754,Lyngberg Anne Marie,"Ålnesvn. 99 , 7760 SNÅSA",Org. nr. 893 727 272,Økologisk landbruksproduksjon,Gyldig fra 24.11.2020 til 30.12.2021
1755,Lyngstad Andreas,"Åsheimkroken 106 , 1820 SPYDEBERG",Org. nr. 915 036 570,"Foredling, import og omsetning",Gyldig fra 25.02.2020 til 30.12.2021
1756,Lyngstad Gårdsdrift Heidi Lyngstad,"Nøtteholveien 76 , 1890 RAKKESTAD",Org. nr. 989 167 057,Økologisk landbruksproduksjon,Gyldig fra 14.05.2020 til 30.12.2021
1757,Lysø Elin Moen,"Nordsida 1347, Mogjerdet , 6655 VINDØLA",Org. nr. 995 098 563,Økologisk landbruksproduksjon,Gyldig fra 09.07.2020 til 30.12.2021
1758,Lysø Rolv,"Torvikvegen 726 , 6652 SURNA",Org. nr. 977 255 171,Økologisk landbruksproduksjon,Gyldig fra 19.11.2020 til 30.12.2021
1759,M. Willumsen AS,"Bygdøy Alle 8 , 0262 OSLO",Org. nr. 982 480 620,"Foredling, import og omsetning",Gyldig fra 29.03.2020 til 30.12.2021
1761,Mack Mikrobryggeri,"Musègata 1 , 9008 TROMSØ",Org. nr. 975 967 093,"Foredling, import og omsetning",Gyldig fra 15.11.2020 til 30.12.2021
1762,Macks Ølbryggeri AS,"Musègata 1 , 9008 TROMSØ",Org. nr. 975 967 093,"Foredling, import og omsetning",Gyldig fra 15.11.2020 til 30.12.2021
1763,Madland Egil,"Brusalivegen 217, Brusali Gard , 4363 BRUSAND",Org. nr. 970 490 426,Økologisk landbruksproduksjon,Gyldig fra 15.11.2020 til 30.12.2021
1764,Madsø Bente Haugen,"Madsøya 1 , 7168 LYSØYSUNDET",Org. nr. 912 026 892,"Foredling, import og omsetning",Gyldig fra 16.02.2020 til 30.12.2021
1765,Mæhle Therese Angel,"Børvevegen 2 , 5773 HOVLAND",Org. nr. 994 140 264,Økologisk landbruksproduksjon,Gyldig fra 15.11.2020 til 30.12.2021
1766,Mæland Gunleik,"Natadalsvegen 57 , 3841 FLATDAL",Org. nr. 990 753 202,"Foredling, import og omsetning",Gyldig fra 14.10.2020 til 30.12.2021
1767,Mæland Måkestad Anne-Kristine,"Fjordavegen 3738 , 5777 GRIMO",Org. nr. 969 140 217,Økologisk landbruksproduksjon,Gyldig fra 23.11.2020 til 30.12.2021
1768,Mælingen Utvikling,"Mælingen 62 , 3519 HØNEFOSS",Org. nr. 998 911 621,Økologisk landbruksproduksjon,Gyldig fra 08.06.2020 til 30.12.2021
1769,Mære Landbruksskole,"Mæresvegen 163 , 7710 SPARBU",Org. nr. 874 560 782,Økologisk landbruksproduksjon,Gyldig fra 22.04.2020 til 30.12.2021
1770,Måge Amund,"Fjordavegen 1305 , 5776 NÅ",Org. nr. 881 055 562,Økologisk landbruksproduksjon,Gyldig fra 16.11.2020 til 30.12.2021
1771,Mageli Gard Håvard Nygård,"Mågålivegen 150 , 2635 TRETTEN",Org. nr. 996 605 310,"Foredling, import og omsetning",Gyldig fra 05.10.2020 til 30.12.2021
1772,Magerøy Rune Olav,"Magerøyveien 320 , 6475 MIDSUND",Org. nr. 976 232 054,Økologisk landbruksproduksjon,Gyldig fra 10.03.2020 til 30.12.2021
1773,Magnesen Jan Arnt,"Hattevegen 22 , 5336 TJELDSTØ",Org. nr. 971 204 516,Økologisk landbruksproduksjon,Gyldig fra 17.06.2020 til 30.12.2021
1774,Måkestad Engros AS,"Lønningshaugen 2 , 5258 BLOMSTERDALEN",Org. nr. 981 521 935,"Foredling, import og omsetning",Gyldig fra 11.05.2020 til 30.12.2021
1775,Måkestad Engros Larvik,"Industrivn. 1 , 3270 LARVIK",Org. nr. 998 934 206,"Foredling, import og omsetning",Gyldig fra 21.04.2020 til 30.12.2021
1777,Måkestad Engros Øst AS,"Tretjerndalsvegen 62 , 2016 FROGNER",Org. nr. 956 958 059,"Foredling, import og omsetning",Gyldig fra 26.10.2020 til 30.12.2021
1778,Makkenes AS,"Nordvarangerveien 1420 , 9800 VADSØ",Org. nr. 916 125 054,Økologisk landbruksproduksjon,Gyldig fra 26.10.2020 til 30.12.2021
1779,Malin Sæther og Daniel Thoresen Lossius,"Hollaveien 351 , 7200 KYRKSÆTERØRA",Org. nr. 997 328 256,"Foredling, import og omsetning",Gyldig fra 05.11.2020 til 30.12.2021
1780,Malmo Audun,"Landsemvegen 452 , 7790 MALM",Org. nr. 986 966 080,Økologisk landbruksproduksjon,Gyldig fra 23.06.2020 til 30.12.2021
1781,Malmo Ole Erik,"Landsemvegen 570 , 7790 MALM",Org. nr. 969 436 906,Økologisk landbruksproduksjon,Gyldig fra 14.09.2020 til 30.12.2021
1782,Malmo Samdrift v/ Audun Malmo,"Landsemvegen 452 , 7790 MALM",Org. nr. 887 438 412,Økologisk landbruksproduksjon,Gyldig fra 14.09.2020 til 30.12.2021
1783,Målsnes Lars Arne,"Målsnes 13 , 6899 BALESTRAND",Org. nr. 916 517 351,Økologisk landbruksproduksjon,Gyldig fra 14.09.2020 til 30.12.2021
1784,Malteriet AS,"Efteløtveien 100 , 3618 SKOLLENBORG",Org. nr. 914 532 264,"Foredling, import og omsetning",Gyldig fra 30.11.2020 til 30.12.2021
1785,Malum Gunnhild og Helge,"Bjørgen, Malum , 7387 SINGSÅS",Org. nr. 969 135 000,Økologisk landbruksproduksjon,Gyldig fra 03.11.2020 til 30.12.2021
1786,MannaVita Norway AS,"Postboks 23 , 3331 SKOTSELV",Org. nr. 976 745 000,"Foredling, import og omsetning",Gyldig fra 20.04.2020 til 30.12.2021
1787,Maresco AS,"Rødspættevej 9 , DK 9970 STRANDBY",Org. nr. -,Bærekraftig fiske og fangst,Gyldig fra 22.11.2020 til 30.12.2021
1788,Marhaug Arne,"Marhaugveien 95 , 8286 NORDFOLD",Org. nr. 969 429 306,Økologisk landbruksproduksjon,Gyldig fra 24.06.2020 til 30.12.2021
1789,Marias Ampelos AS,"Solbergvegen 76 , 6210 VALLDAL",Org. nr. 923 186 182,"Foredling, import og omsetning",Gyldig fra 03.05.2020 til 30.12.2021
1790,Markedshagen på Dokka,"Nylinna 134 , 2870 DOKKA",Org. nr. 922 618 046,Økologisk landbruksproduksjon,Gyldig fra 08.12.2020 til 30.12.2021
1791,Marstrander Leiv Otto,"Prestkværn 35 , 2770 JAREN",Org. nr. 884 080 142,Økologisk landbruksproduksjon,Gyldig fra 24.11.2020 til 30.12.2021
1793,Martinsen Gunnar,"Duengerhøgda 569 , 2350 NES PÅ HEDMARK",Org. nr. 884 408 792,Økologisk landbruksproduksjon,Gyldig fra 02.09.2020 til 30.12.2021
1794,Martinsen Jørn Hjalmar og Ruth Kylland,"Steinvannsveien 242 , 4760 BIRKELAND",Org. nr. 977 318 157,"Foredling, import og omsetning",Gyldig fra 02.09.2020 til 30.12.2021
1795,Martinsen Oddmund,"Vølbusvn. 153 , 2940 HEGGENES",Org. nr. 979 155 689,Økologisk landbruksproduksjon,Gyldig fra 11.11.2020 til 30.12.2021
1796,Martinussen Jonas,"Kårvikveien 301 , 9307 FINNSNES",Org. nr. 917 009 600,Økologisk landbruksproduksjon,Gyldig fra 07.10.2020 til 30.12.2021
1797,Marum gård,"Marumvegen 58 , 3729 SKIEN",Org. nr. 922 599 548,Økologisk landbruksproduksjon,Gyldig fra 16.07.2020 til 30.12.2021
1798,Maschmanns AS,"Karenslyst alle 51 , 0279 OSLO",Org. nr. 997 549 910,"Foredling, import og omsetning",Gyldig fra 13.07.2020 til 30.12.2021
1799,Maskinpakking AS,"Johan Follestadsvei 18 , 3474 ÅROS",Org. nr. 984 684 215,"Foredling, import og omsetning",Gyldig fra 02.12.2020 til 30.12.2021
1800,MatBørsen AS,"Borgeskogen 38 , 3160 STOKKE",Org. nr. 971 233 850,"Foredling, import og omsetning",Gyldig fra 25.10.2020 til 30.12.2021
1801,Matcompaniet AS,"Postboks 341 , 4002 STAVANGER",Org. nr. 984 012 187,"Foredling, import og omsetning",Gyldig fra 11.10.2020 til 30.12.2021
1802,Matcompaniet AS avd Oslo,"Postboks 341 , 4002 STAVANGER",Org. nr. 984 012 187,"Foredling, import og omsetning",Gyldig fra 09.11.2020 til 30.12.2021
1803,Matgrossisten-Nord AS,"Postboks 826 , 8001 BODØ",Org. nr. 998 518 954,"Foredling, import og omsetning",Gyldig fra 15.11.2020 til 30.12.2021
1804,Matnisdal Ronny,"Storagrønå 4 , 4362 VIGRESTAD",Org. nr. 988 990 825,Økologisk landbruksproduksjon,Gyldig fra 10.06.2020 til 30.12.2021
1805,Matre Jostein,"Kilenveien 6 , 1719 GREÅKER",Org. nr. 981 126 513,Økologisk landbruksproduksjon,Gyldig fra 27.04.2020 til 30.12.2021
1806,Max Health AS,"Tombveien 28 , 1643 RÅDE",Org. nr. 923 699 805,"Foredling, import og omsetning",Gyldig fra 05.10.2020 til 30.12.2021
1807,McGinn William,"Sambindingsvn. 33 , 6895 FEIOS",Org. nr. 912 542 564,Økologisk landbruksproduksjon,Gyldig fra 05.07.2020 til 30.12.2021
1809,Mediterranean Food AS,"Ulvenveien 102, inngang 6 , 0581 OSLO",Org. nr. 971 144 327,"Foredling, import og omsetning",Gyldig fra 18.08.2020 til 30.12.2021
1810,Meen Roar,"Håvundvn. 343 , 3711 SKIEN",Org. nr. 971 184 507,Økologisk landbruksproduksjon,Gyldig fra 18.08.2020 til 30.12.2021
1811,Mega Søgne,"Sentrumsveien 1 , 4640 SØGNE",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 26.11.2020 til 30.12.2021
1812,Mega Vinderen,"Borgenveien 48 , 0371 OSLO",Org. nr. 931 186 744,"Foredling, import og omsetning",Gyldig fra 22.04.2020 til 30.12.2021
1813,Mehren Marius Berg,"Kviståsvn. 17 , 3405 LIER",Org. nr. 984 211 937,Økologisk landbruksproduksjon,Gyldig fra 29.07.2020 til 30.12.2021
1814,Mehus Stina,"Vestbyveien 190 , 1449 DRØBAK",Org. nr. 991 019 138,"Foredling, import og omsetning",Gyldig fra 16.06.2020 til 30.12.2021
1815,Meium AS,"Strandveien 627 , 7584 SELBUSTRAND",Org. nr. 839 161 352,"Foredling, import og omsetning",Gyldig fra 02.06.2020 til 30.12.2021
1816,Mekkers Handel - Økland,"Storehamn 25 , 4160 FINNØY",Org. nr. 976 597 060,"Foredling, import og omsetning",Gyldig fra 15.09.2020 til 30.12.2021
1817,Meklenborg Åsmund,"Meklenborgvn. 54 , 2160 VORMSUND",Org. nr. 994 780 336,Økologisk landbruksproduksjon,Gyldig fra 11.02.2020 til 30.12.2021
1818,Melby Thomas,"Kragtorpgrenda 46 , 1970 HEMNES",Org. nr. 981 433 939,Økologisk landbruksproduksjon,Gyldig fra 23.06.2020 til 30.12.2021
1819,Melbye Aksel,"Stangevegen 879 , 2335 STANGE",Org. nr. 969 108 488,Økologisk landbruksproduksjon,Gyldig fra 17.03.2020 til 30.12.2021
1820,Meldahl Frode,"Enganvn. 105 , 7810 NAMSOS",Org. nr. 976 131 258,Økologisk landbruksproduksjon,Gyldig fra 03.06.2020 til 30.12.2021
1821,Melheim Kjetil,"Ekrevegen 89 , 6873 MARIFJØRA",Org. nr. 990 404 321,Økologisk landbruksproduksjon,Gyldig fra 15.11.2020 til 30.12.2021
1822,Melhus Bakeri II AS,"Kvenildmyra 2 , 7093 TILLER",Org. nr. 922 756 090,"Foredling, import og omsetning",Gyldig fra 31.03.2020 til 30.12.2021
1823,"Melhusgården Øvre / Stendahl, Halfdan og Astrid Sæther","Asbjørn av Medalhusvei 1 , 7224 MELHUS",Org. nr. 994 087 606,"Foredling, import og omsetning",Gyldig fra 27.07.2020 til 30.12.2021
1825,Meli Oddbjørn,"Osåsen 58 , 2550 OS I ØSTERDALEN",Org. nr. 919 747 498,Økologisk landbruksproduksjon,Gyldig fra 09.11.2020 til 30.12.2021
1826,Melø Grim Bredo,"Hedrumvn. 851 , 3282 KVELDE",Org. nr. 869 272 132,Økologisk landbruksproduksjon,Gyldig fra 09.11.2020 til 30.12.2021
1827,Melø hagebruk og honning,"Hedrumveien 853 , 3282 KVELDE",Org. nr. 923 334 459,Økologisk landbruksproduksjon,Gyldig fra 10.12.2020 til 30.12.2021
1828,Melting Brit Elden,"Eldvegen 118 , 7730 BEITSTAD",Org. nr. 969 326 523,Økologisk landbruksproduksjon,Gyldig fra 14.07.2020 til 30.12.2021
1829,Melum gård,"Ringeriksveien 310 , 3370 Vikersund",Org. nr. 988 304 433,Økologiske juletrær og pyntegrønt,Gyldig fra 30.09.2020 til 30.12.2021
1830,Mender Cornelia Chr.,"Tinghaugveien 197 , 3175 RAMNES",Org. nr. 991 247 858,Økologisk landbruksproduksjon,Gyldig fra 08.09.2020 til 30.12.2021
1831,Meny Bjølsen,"Moldegt. 1 , 0445 OSLO",Org. nr. 977 571 340,"Foredling, import og omsetning",Gyldig fra 24.11.2020 til 30.12.2021
1832,Meny Bryn,"Østensjøveien 79 , 0667 OSLO",Org. nr. 987 570 016,"Foredling, import og omsetning",Gyldig fra 11.10.2020 til 30.12.2021
1833,Meny Indre Havn,"Kilgt.25 , 3217 SANDEFJORD",Org. nr. 708 000 074 827 3,"Foredling, import og omsetning",Gyldig fra 21.05.2020 til 30.12.2021
1834,Meny Øya Larvik,"Tjøllingveien 45 , 3262 LARVIK",Org. nr. 985 021 228,"Foredling, import og omsetning",Gyldig fra 04.11.2020 til 30.12.2021
1835,Meny Ringnes park,"Sannergt. 6 C , 0555 OSLO",Org. nr. 992 972 882,"Foredling, import og omsetning",Gyldig fra 02.02.2020 til 30.12.2021
1836,Meråker Kjøtt AS,"Mellomriksvegen 4867 , 7530 MERÅKER",Org. nr. 945 517 654,"Foredling, import og omsetning",Gyldig fra 07.12.2020 til 30.12.2021
1837,Merand Kaffe Import AS,"Finnesvegen 16 , 5704 VOSS",Org. nr. 917 550 948,"Foredling, import og omsetning",Gyldig fra 09.03.2020 til 30.12.2021
1838,Merem AS,"Enebakkveien 54 , 0657 OSLO",Org. nr. 996 236 099,Økologisk landbruksproduksjon,Gyldig fra 20.10.2020 til 30.12.2021
1839,Meum Frukt & Grønt AS,"Furustadvn. 101 , 3232 SANDEFJORD",Org. nr. 962 959 962,"Foredling, import og omsetning",Gyldig fra 05.10.2020 til 30.12.2021
1841,Microbakeriet,"Storgata 2 , 3210 SANDEFJORD",Org. nr. 924 978 945,"Foredling, import og omsetning",Gyldig fra 28.06.2020 til 30.12.2021
1842,Midsona Norge AS,"Postboks 144, Skøyen , 0212 OSLO",Org. nr. 979 473 559,"Foredling, import og omsetning",Gyldig fra 28.06.2020 til 30.12.2021
1843,Midsona Norge AS avd Drammen,"Havnegata 59 , 3040 DRAMMEN",Org. nr. 979 473 559,"Foredling, import og omsetning",Gyldig fra 18.11.2020 til 30.12.2021
1844,Midt-Norge Slakteri AS avd. Levanger,"Kirkegata 70 , 7600 LEVANGER",Org. nr. 968 932 683,"Foredling, import og omsetning",Gyldig fra 25.02.2020 til 30.12.2021
1845,Midt-Troms Grønt AS Trond Strømeng,"Sultindvikv. 405 , 9302 ROSSFJORDSTRAUMEN",Org. nr. 915 862 349,Økologisk landbruksproduksjon,Gyldig fra 08.06.2020 til 30.12.2021
1846,Midtaune Laila og Johan,"Almannvn. 48 , 2550 OS I ØSTERDALEN",Org. nr. 977 104 424,Økologisk landbruksproduksjon,Gyldig fra 27.05.2020 til 30.12.2021
1847,Midtaune Mari og Esten,"Rundingen 70 , 7383 HALTDALEN",Org. nr. 969 524 635,Økologisk landbruksproduksjon,Gyldig fra 25.02.2020 til 30.12.2021
1848,Midtbø Jon,"Midtbøvegen 52 , 3803 BØ I TELEMARK",Org. nr. 973 055 887,Økologisk landbruksproduksjon,Gyldig fra 17.02.2020 til 30.12.2021
